ID,INCIDENT,DATE,TIME,ADDRESS,ZIP,BATTALION/SHIFT,MAPSCO,COUNCIL_DISTRICT,CENSUS_TRACT,STRUCTURE_TYPE,NO_OF_STORIES,CONSTRUCTION,CAUSE,TOTAL_VALUE,STRUCTURE_LOSS,CONTENTS_LOSS,TOTAL_SAVED,SPRINKER_SYS,ALARM_SYS
17367,2019289189,12/02/2019,10:26 AM,2124 N PRAIRIE CREEK RD,75227,8/B,59A,7,9000,RETAIL,1,,UNSPECIFIED SHORT CIRCUIT ARC,416920,-300,0,416620,NO,YES
17368,2019289058,12/02/2019,07:25 AM,6731 STICHTER AVE,75230,7/B,25Q,13,7604,DWELLING,1,BRICK,MECHANICAL FAILURE MALFUNCTION OTHER,2128760,-5000,0,2123760,NO,YES
17369,2019289991,12/03/2019,10:07 AM,1911 EDD RD,75216,8/C,69A-L,8,17101,MOBILE HOME,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,3000,-3000,0,0,NO,UNK
17370,2019289853,12/03/2019,05:33 AM,7002 TROYGLEN DR,75241,5/B,65U,8,11300,SHED,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,500,-500,0,0,NO,YES
17371,2019289751,12/03/2019,12:14 AM,3301 MCKINNEY AVE,75204,1/B,45B,14,1703,RESTAURANT,2,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,188830,0,-5000,183830,NO,YES
17372,2019290032,12/03/2019,11:06 AM,1832 TORONTO ST,75212,1/C,44N,6,10101,DWELLING,1,WOOD,UNDETERMINED,85510,-25000,-2500,58010,NO,NO
17373,2019291252,12/04/2019,07:32 PM,8417 ELAM RD,75217,8/A,58V,5,9202,SHED,1,WOOD,UNDETERMINED,10000,0,0,10000,NO,NO
17374,2019290589,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C,26Z,9,7809,APARTMENTS,3,WOOD,UNDETERMINED,47130,-47130,0,0,NO,
17375,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),35470,-29470,-6000,0,NO,UNK
17376,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),43490,-36490,-7000,0,NO,UNK
17377,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),37180,-31180,-6000,0,NO,UNK
17378,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),30960,-25960,-5000,0,NO,UNK
17379,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),30960,-25960,-5000,0,NO,UNK
17380,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),30180,-25180,-5000,0,NO,UNK
17381,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),43450,-18225,-3500,21725,NO,UNK
17382,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),37880,-15500,-3000,19380,NO,UNK
17383,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),55020,-20000,-4000,31020,NO,UNK
17384,,12/04/2019,12:54 AM,6108 ABRAMS RD,75231,4/C-E,26Z-E,,,APARTMENTS,3,WOOD,EXPOSURE (UNDETERMINED),34680,-16000,-2000,16680,NO,UNK
17385,2019290605,12/04/2019,01:31 AM,6335 MELODY LN,75223,4/A,26Z,13,7818,VEHICLE,2009,TOYOTA COROLLA,INCENDIARY,5500,-5500,0,0,N/A,UNK
17386,2019291806,12/05/2019,01:38 PM,9169 MARKVILLE DR,75243,4/B,17W,10,7810,DUMPSTER ENCLOSURE,,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,4000,-500,0,3500,N/A,
17387,2019291679,12/05/2019,10:02 AM,5330 BENT TREE FOREST DR,75248,2/B,5W,11,13620,APARTMENTS,3,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,10020000,-2500,-500,10017000,NO,YES
17398,2019291412,12/05/2019,12:13 AM,9825 WEBB CHAPEL RD,75220,7/A,23U,6,9804,APARTMENTS,2,WOOD,UNDETERMINED,4286880,-900000,-50000,3336880,NO,YES
17399,2019292685,12/06/2019,02:12 PM,4505 RIDGESIDE DR,75244,7/C,14Y,13,9603,SCHOOL,3,,INCENDIARY,20000000,-1200,-300,19998500,YES,YES
17388,2019286395,12/06/2019,01:29 AM,4719 MOUNTAIN CREEK PKWY,75236,6/B,61A-M,3,16521,STORAGE TRAILER,,,MECHANICAL FAILURE MALFUNCTION OTHER,100000,-75000,-25000,0,NO,NO
17389,,12/06/2019,01:29 AM,4719 MOUNTAIN CREEK PKWY,75236,6/B-E,61A-M-E,,,COMMERCIAL,1,,EXPOSURE (ACCIDENTAL),100000,-75000,-25000,0,YES,YES
17390,2019292874,12/06/2019,06:01 PM,5365 SPRING VALLEY RD,75240,2/C,15J,11,13624,RED BOX VIDEO MACHINE,,,UNDETERMINED,100,-100,0,0,,
17391,2019292851,12/06/2019,05:27 PM,11760 FERGUSON RD,75228,4/C,39C,9,12604,APARTMENTS,3,WOOD,ELECTRICAL FAILURE MALFUNCTION OTHER,9500450,-1500,-450,9498500,YES,YES
17392,2019292707,12/06/2019,02:45 PM,119 N MARLBOROUGH AVE,75208,6/C,54E,1,5200,VEHICLE,2002,VOLVO,INCENDIARY,3000,-3000,0,0,N/A,
17393,2019293310,12/07/2019,06:19 AM,2727 WELBORN ST,75219,3/C,45A,14,500,FENCE,,,INCENDIARY,2000,-600,0,1400,N/A,NO
17394,,12/07/2019,06:19 AM,2727 OAKLAWN AVE,75219,3/C-E,45A-E,,,VEHICLE,2012,FORD VAN,EXPOSURE (INCENDIARY),7000,-3500,0,3500,N/A,NO
17395,2019293494,12/07/2019,12:23 PM,8914 REDONDO DR,75218,4/A,37R,9,8100,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,59620,-2500,-250,56870,NO,YES
17400,2019293980,12/07/2019,11:11 PM,5114 BRYAN ST,75206,3/A,46A,2,1504,CONDOMINUM,2,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,77000,-500,-2500,74000,NO,YES
17396,2019294791,12/08/2019,11:01 PM,8107 RACINE DR,75232,5/B,74B,8,11104,VEHICLE,2008,CHEVY IMPALA,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,1500,-1500,0,0,N/A,
17397,2019294264,12/08/2019,08:37 AM,1735 E WACO AVE,75216,6/B,55F,4,4900,DWELLING,1,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,52130,-1000,0,51130,NO,NO
17401,2019295284,12/09/2019,03:29 PM,6306 BELLBROOK DR,75217,8/C,57V,8,9304,DWELLING,1,WOOD,PLAYING WITH HEAT SOURCE,125000,-75000,-5000,45000,NO,UNK
17402,2019295314,12/09/2019,04:12 PM,6820 L B J SERV EB,75240,2/C,15V,11,13200,COMMERCIAL,4,CONCRETE,INCENDIARY,9909080,-1000,0,9908080,YES,YES
17403,2019295952,12/10/2019,10:50 AM,8252 SCYENE CIR,75227,8/A,48V,7,9000,COMMERCIAL,1.5,,EQUIPMENT UNATTENDED,159000,-50000,0,109000,N/A,
17404,2019295873,12/10/2019,08:44 AM,5614 UNIVERSITY HILLS BLVD,75241,5/A,65P,3,11300,DWELLING,1.5,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,177820,-500,-200,177120,NO,NO
17405,2019295853,12/10/2019,08:03 AM,1824 WINNETKA AVE,75208,1/A,44T,6,4300,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,96280,-5000,0,91280,NO,YES
17406,2019296314,12/10/2019,07:52 PM,2601 FRANKFORD RD,75287,2/A,3G,12,21638,APARTMENTS,2,WOOD,UNDETERMINED,24783370,-500,-1000,24781870,NO,NO
17407,2019296129,12/10/2019,03:19 PM,8100 MAYFORGE DR,75216,5/A,66C,4,8603,,,,INCENDIARY,0,0,0,0,N/A,
17408,2019296486,12/11/2019,01:40 AM,5929 MELODY LN,75231,4/A,26T,13,7818,APARTMENTS,3,WOOD,INCENDIARY,4000000,-1000,0,3999000,N/A,YES
17409,2019296797,12/11/2019,01:20 PM,15235 BUDEUDY DR,75253,8/B,70W,8,17001,MOBILE HOME,1,WOOD,ELECTRICAL FAILURE MALFUNCTION OTHER,6400,-1000,-1000,4400,NO,YES
17410,2019296966,12/11/2019,04:51 PM,8023 OLUSTA DR,75217,8/B,58Y,8,11601,DWELLING,1,WOOD,HEAT SOURCE TO CLOSE TO COMBUSTIBLES,81500,-10000,-3500,68000,NO,NO
17411,2019297756,12/12/2019,05:40 PM,110 CONTINENTAL AVE,75207,1/C,45J,6,10000,WAREHOUSE,1,METAL,INCENDIARY,3086800,-2500,0,3084300,YES,NO
17412,2019297293,12/12/2019,05:30 AM,9749 HARRY HINES BLVD,75220,7/B,33B,6,10000,COMMERICAL,1,BRICK,UNDETERMINED,100000,-10000,-30000,60000,NO,UNK
17413,2019297872,12/12/2019,08:11 PM,6531 LEANING OAKS ST,75241,5/C,66-X,8,16701,DWELLING,1,WOOD,UNDETERMINED,108000,-40000,-5000,63000,NO,NO
17414,2019297315,12/12/2019,06:12 AM,3915 ARANSAS ST,75212,9/B,43F,6,10500,DWELLING,1,WOOD,UNDETERMINED,32330,-31830,-500,0,NO,UNK
17415,2019298041,12/13/2019,01:30 AM,2419 TALCO DR,75241,5/C,66J,8,8705,DWELLING,,,INCENDIARY,133840,0,-10,133830,,YES
17416,2019298330,12/13/2019,11:50 AM,1717 ELSI FAYE HEGGINS ST,75215,1/A,56B,7,4000,RESTAURANT,1,BRICK,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,125580,-2000,0,123580,N/A,NO
17417,2019298848,12/13/2019,09:57 PM,2312 MADERA ST,75206,3/A,36S,2,1002,DWELLING,1,BRICK,UNSPECIFIED SHORT CIRCUIT ARC,416300,-5000,-1000,410300,NO,
17418,2019298627,12/13/2019,05:59 PM,4544 W KIEST BLVD,75236,6/A,52Z,3,10803,APARTMENTS,2,WOOD,EQUIPMENT UNATTENDED,10010000,-250000,-5000,9755000,NO,YES
17419,2019298515,12/13/2019,04:02 PM,4229 GLENHAVEN BLVD,75211,6/A,53N,1,6501,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,155000,-15000,-5000,135000,NO,NO
17420,2019298160,12/13/2019,07:37 AM,1611 MENTOR AVE,75216,5/A,65F,4,5700,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,77000,-20000,-5000,52000,NO,YES
17421,2019298477,12/13/2019,03:03 PM,1812 HICKORY ST,75215,1/A,45V,2,20400,APARTMENTS,2,WOOD,UNDETERMINED,152270,-200,0,152070,NO,YES
17422,2019298595,12/13/2019,05:36 PM,123 ANTHONY ST,75203,1/A,55B,4,4100,DWELLING,1,WOOD,UNDETERMINED,29160,-28160,-1000,0,NO,NO
17423,2019299616,12/14/2019,07:26 PM,10333 DENTON DR,75220,7/B,23X,6,9900,COMMERCIAL,1,BRICK,UNDETERMINED,4420,-1500,-500,2420,NO,NO
17424,2019299046,12/14/2019,02:29 AM,2808 LE CLERC AVE,75210,3/A,46R,7,2701,DWELLING,1,WOOD,INCENDIARY,54000,-2000,0,52000,NO,NO
17425,2019299100,12/14/2019,05:11 AM,4912 TERRY ST,75223,3/A,46G,2,2400,GARAGE,1,WOOD,INCENDIARY,20000,-10000,-5000,5000,NO,NO
17426,2019299082,12/14/2019,03:53 AM,18613 MARSH LN,75287,2/A,3D,12,21616,COMMERCIAL,1,,UNSPECIFIED SHORT CIRCUIT ARC,0,-15000,-10000,-25000,NO,NO
17427,2019299283,12/14/2019,12:09 PM,3117 EMMETT ST,75211,9/B,53L,1,6402,SHED,1,,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,500,-50,0,450,NO,NO
17428,2019300464,12/15/2019,06:28 PM,18909 LLOYD CIR,75252,2/C,656X,12,31715,APARTMENTS,3,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,5005210,-350,0,5004860,NO,YES
17429,2019280289,12/15/2019,08:35 PM,2201 TUCKER ST,75214,3/C,37X,14,100,COMMERCIAL,1,MASONRY,FAILURE TO CLEAN,70000,0,-500,69500,NO,UNK
17430,2019000091,12/15/2019,08:48 AM,6803 HOLLIS AVE,75227,8/C,48S,5,8400,GARAGE,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,5100,-75,0,5025,NO,NO
17431,2019299916,12/15/2019,01:45 AM,7941 L B J SER WB,75251,4/C,16T,11,13200,VEHICLE,2012,JAGUAR XJL,INCENDIARY,20000,-20000,0,0,NO,NO
17432,2019300396,12/15/2019,05:12 PM,4814 GREENVILLE AVE,75206,4/C,36F,14,7913,DUMPSTER,,,UNDETERMINED,6000,-100,0,5900,NO,UNK
17433,2019301449,12/16/2019,12:04 AM,8075 MEADOW RD,75231,4/A,26K,13,7823,CONDOMINIUMS,2,BRICK,UNDETERMINED,700000,-100000,-50000,550000,,
17434,2019301388,12/16/2019,10:12 PM,1729 N WESTMORELAND RD,75212,6/A,43T,6,10500,SCRAP METAL,,,FACTORS CONTRIBUTING TO IGNITION OTHER,15387750,0,0,15387750,N/A,NO
17435,2019300763,12/16/2019,05:39 AM,3120 VALLEY MEADOW DR,75220,7/C,23U,6,9804,VEHICLE,2010,LEXUS RX350,INCENDIARY,12870,-12870,0,0,,
17436,2019301381,12/16/2019,10:03 PM,4800 BEEMAN AVE,75223,1/A,46M,7,2500,,,,INCENDIARY,2500,-2500,0,0,,
17477,2019301314,12/16/2019,08:04 PM,2402 WINTHROP DR,75228,4/A,38H,9,12702,DWELLING,1,WOOD,,128000,-300,0,127700,N/A,YES
17437,2019302065,12/17/2019,06:06 PM,1405 LENWAY ST,75211,1/B,46W,7,3400,DWELLING,1,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,65000,-40000,-5000,20000,NO,NO
17438,2019301775,12/17/2019,11:28 AM,5200 SIMPSON STUART RD,75241,5/B,67F,8,20200,WAREHOUSE,1,,MECHANICAL FAILURE MALFUNCTION OTHER,8700000,0,-500,8699500,YES,YES
17439,2019301883,12/17/2019,02:08 PM,4115 BALL ST,75216,6/B,65C,4,8703,SHED,1,WOOD,INCENDIARY,500,-50,0,450,NO,NO
17440,2019302282,12/18/2019,01:07 AM,1303 EXETER AVE,75216,6/B,65F,4,5901,VEHICLE,1994,CHEVY CAPRICE,INCENDIARY,2000,-1000,0,1000,,
17441,2019302304,12/18/2019,01:59 AM,216 W 7TH ST,75208,6/B,54D,1,4700,COMMERCIAL,1,,UNDETERMINED,300000,-45000,-1000,254000,NO,NO
17450,2019302922,12/18/2019,06:20 PM,12007 DE OR DR,75230,2/C,15X,11,13200,DWELLING,2,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,579000,-15000,-1000,563000,N/A,YES
17451,2019302504,12/18/2019,09:14 AM,3769 LEGENDARY LN,75224,5/C,64B,4,6100,APARTMENTS,2,WOOD,EQUIPMENT UNATTENDED,2875000,-500,0,2874500,NO,YES
17452,2019302461,12/18/2019,08:33 AM,10040 BRIERWOOD LN,75217,8/C,69L,8,11602,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,69000,-35000,0,34000,N/A,NO
17453,2019302705,12/18/2019,04:25 AM,4323 HARVEST HILL RD,75244,2/C,14T,13,9603,DWELLING,1,WOOD,ACCIDENTALLY TURNED ON NOT TURNED OFF,450230,-2000,0,448230,NO,YES
17454,2019302571,12/18/2019,11:04 AM,824 N CRAWFORD ST,75203,6/C,54D,1,2000,GARAGE,1,,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,5000,-5000,0,0,N/A,NO
17455,2019303327,12/19/2019,08:41 AM,2207 E LEDBETTER DR,75216,5/A,65M,3,8704,COMMERCIAL,1,STUCCO,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,141870,-1000,0,140870,NO,UNK
17456,2019303568,12/19/2019,02:15 PM,10704 JOAQUIN DR,75228,6/A,38S,9,12701,APARTMENTS,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,15500,-4000,-2500,9000,NO,NO
17457,2019303986,12/20/2019,01:27 AM,2220 HOUSLEY DR,75228,4/A,38D,9,12701,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,76770,-15000,0,61770,NO,NO
17458,2019304047,12/20/2019,04:26 AM,4830 LAKAWANA ST,75247,9/A,43C,6,10000,COMMERCIAL,1,,MECHANICAL FAILURE MALFUNCTION OTHER,2189900,-40000,-500,2149400,YES,YES
17459,2019304140,12/20/2019,08:28 AM,13306 ROLLING HILLS LN,75240,4/B,16N,11,13610,DWELLING,3,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,496200,-8000,-2500,485700,NO,YES
17460,2019305300,12/21/2019,03:46 PM,675 SHADYWAY DR,75232,5/B,74C,8,11104,DWELLING,1,WOOD,UNDETERMINED,150000,-50000,-20000,80000,NO,YES
17461,2019305538,12/21/2019,09:42 PM,675 SHADYWAY DR,75232,5/B,74C,8,11104,DWELLING,1,WOOD,REKINDLE,100000,-5000,0,95000,NO,NO
17462,2019305116,12/21/2019,10:18 AM,5910 JUNIUS ST,75214,3/B,36Y,14,1301,DWELLING,1,WOOD,UNDETERMINED,408290,-20000,-8000,380290,NO,YES
16308,2018304930,12/21/2019,12:19 AM,9510 BROCKBANK DR,75220,7/A,23X,6,7201,PORTABLE BLDG,1,WOOD,INCENDIARY,35000,0,0,35000,,YES
17463,2019305983,12/22/2019,12:47 PM,330 E CAMP WISDOM RD,75241,5/C,64V,8,11200,APARTMENTS,2,WOOD,UNDETERMINED,0,-200,0,-200,NO,YES
17464,2019305637,12/22/2019,12:18 AM,12873 MONTFORT DR,75230,2/B,15S,13,9604,APARTMENTS,2,WOOD,PLAYING WITH HEAT SOURCE,120000,-50000,-25000,45000,NO,NO
17465,2019306513,12/22/2019,06:48 AM,1406 ANN ARBOR AVE,75216,5/A,65F,4,5901,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,56870,-13000,-1000,42870,NO,NO
17467,2019307010,12/23/2019,07:09 PM,4600 GREAT TRINITY FOREST SERV S,75241,5/B,57Q,8,20200,VEHICLE,2014,CHEVROLET SILVERADO,INCENDIARY,23500,-23500,0,0,,
17468,2019306763,12/23/2019,01:59 PM,11123 JOAQUIN DR,75228,4/A,38H,9,12701,DWELLING,1,WOOD,EQUIPMENT UNATTENDED,245340,-5000,-2500,237840,NO,NO
17469,2019306635,12/23/2019,10:27 AM,616 W MOCKINGBIRD LN,75247,9/A,33X,6,10000,COMMERCIAL,1,,UNDETERMINED,360000,-100,0,359900,N/A,UNK
17470,2019306836,12/23/2019,03:21 PM,3811 N WESTMORELAND RD,75212,9/A,43K,6,10500,SHED,1,METAL,UNDETERMINED,700,-200,-500,0,NO,NO
17471,2019307220,12/24/2019,12:35 AM,2508 COOMBS CREEK DR,75211,6/B,53T,1,6402,APARTMENTS,2,WOOD,UNDETERMINED,12832110,-15000,-1000,12816110,NO,YES
17472,2019307217,12/24/2019,12:32 AM,3521 OAK GROVE AVE,75204,3/B,45C,14,701,RESTAURANT,1,WOOD,MECHANICAL FAILURE MALFUNCTION OTHER,2259540,-20000,0,2239540,NO,NO
17473,2019307296,12/24/2019,05:28 AM,4800 SAMUELL BLVD,75227,8/B,47H,7,12206,APARTMENTS,1,WOOD,UNDETERMINED,0,-50000,0,-50000,NO,NO
17474,,12/24/2019,05:28 AM,4800 SAMUELL BLVD,75227,8/B-E,47H-E,,,APARTMENTS,1,WOOD,EXPOSURE (UNDETERMINED),0,-50000,0,-50000,NO,NO
17478,2019307341,12/24/2019,07:44 AM,211 N LONGACRE DR,75217,8/A,57V,8,9304,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,167650,-2000,-500,165150,NO,YES
17482,2019307558,12/24/2019,01:43 PM,800 ROSS AVE,75202,1/B,45K,14,2100,APARTMENTS,5,WOOD,INCENDIARY,23275000,-1000,-1000,23273000,YES,YES
17483,2019307773,12/24/2019,06:59 PM,9818 BROCKBANK DR,75220,7/B,23T,6,9804,OPEN FIELD,,,INCENDIARY,0,0,0,0,NO,NO
17484,2019308266,12/25/2019,12:36 PM,2615 ROYAL LN,75229,7/C,23E,6,9900,TRASH,,,UNDETERMINED,0,0,0,0,,
17485,,12/25/2019,12:36 PM,11363 DENTON DR,75229,7/C-E,23E-E,,,FENCE,,WOOD,EXPOSURE (UNDETERMINED),1000,-300,0,700,,
17486,2019308118,12/25/2019,07:22 AM,11311 HARRY HINES BLVD,75229,7/A,22H,6,9910,VEHICLE,,CHEV,UNDETERMINED,0,0,0,0,N/A,
17487,,12/25/2019,07:22 AM,11311 HARRY HINES BLVD,75229,7/A-E,22H-E,,,COMMERCIAL,1,,EXPOSURE (UNDETERMINED),500000,-20000,0,480000,N/A,
17480,2019308165,12/25/2019,08:55 AM,7210 LOST CANYON DR,75249,6/C,71B-F,3,16510,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,215140,-5000,-5000,205140,NO,YES
17481,2019308485,12/25/2019,06:39 PM,10075 ROYAL LN,75238,4/A,27H,10,13009,APARTMENTS,2,WOOD,ELECTRICAL FAILURE MALFUNCTION OTHER,12376360,-2000,0,12374360,NO,YES
17479,2019308102,12/25/2019,06:20 AM,2210 56TH ST,75241,5/B,65M,8,8705,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,140430,-50000,-2000,88430,NO,NO
17710,2019308023,12/25/2019,01:58 AM,2910 LYONS ST,75210,3/B,47N,7,2701,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,176860,-5000,-500,171360,NO,YES
17711,2019308035,12/25/2019,02:36 AM,214 W PEMBROKE AVE,75208,6/C,54H,1,5000,DWELLING,1,WOOD,UNSPECIFIED SHORT CIRCUIT ARC,177660,-10000,0,167660,NO,YES
17488,2019309163,12/26/2019,04:49 PM,9727 WHITEHURST DR,75243,4/A,27B,10,7811,CONDOMINIUM,3,WOOD,HEAT SOURCE TOO CLOSE TO COMBUSTIBLES,69860,-10000,-2000,57860,NO,YES
17498,2019308804,12/26/2019,07:13 AM,3700 HAGGER WAY,75209,7/B,34L,2,7102,TRASH DUMPSTER,,,UNDETERMINED,500,-100,0,400,N/A,
17492,2019310106,12/27/2019,06:55 PM,4047 ALTOONA DR,75233,6/C,63E,3,10803,APARTMENTS,2,WOOD,ABANDONED OR DISCARDED MATERIALS OR PRODUCTS,2000000,-30000,0,1970000,N/A,YES
17494,2019309710,12/27/2019,10:15 AM,3235 LOMBARDY LN,75220,7/C,23U,6,9804,VEHICLE,,BUICK LaCROSE,INCENDIARY,8500,-2500,0,6000,NO,NO
17497,2019310180,12/27/2019,08:46 PM,1540 CHENAULT ST,75228,8/C,46B,7,12211,APARTMENTS,2,WOOD,UNDETERMINED,6397970,-10000,-6000,6381970,NO,NO
17496,2019311133,12/28/2019,08:06 PM,3202 SYLVAN AVE,75212,1/A,44P,6,10102,COMMERICAL/WAREHOUSE,1,BLOCK,UNDETERMINED,99790,-1000,0,98790,NO,NO
17491,2019310500,12/28/2019,07:03 AM,10075 ROYAL LN,75238,4/C,27H,10,13009,APARTMENT,2,WOOD,UNSPECIFIED SHORT-CIRCUIT ARC,12378360,-4000,0,12374360,N/A,YES
17495,2019311345,12/29/2019,02:47 AM,4700 S WESTMORELAND RD,75237,5/A,63E,3,10904,COMMERICAL,1,BRICK,UNDETERMINED,9330060,-5000,-10000,9315060,YES,YES
17493,2019311934,12/29/2019,09:32 PM,2230 LEWISTON AVE,75227,8/B,59C,7,12000,DWELLING,2,WOOD,"MECHANICAL FAILURE,MALFUNCTION,OTHER",84790,-5000,-300,79490,NO,NO
17489,2019311378,12/29/2019,04:02 AM,2541 CLUB MANOR DR,75237,1/A,63V,3,10902,DWELLING,1,WOOD,"ELECTRICAL FAILURE,MALFUNCTION,OTHER",219000,-50000,-15000,154000,NO,YES
17490,2019311319,12/29/2019,02:03 AM,2925 WILHURT AVE,75216,5/A,56W,4,8701,DWELLING,1,WOOD,"MECHANICAL FAILURE,MALFUNCTION, OTHER",92440,-2000,0,90440,NO,NO
17506,2019912579,12/30/2019,07:11 PM,11727 FEATHERBROOK DR,75228,4/C,39A,9,12601,DWELLING,1,WOOD,UNDETERMINED,181590,-5000,-2500,174090,NO,YES
17499,2019312405,12/30/2019,02:23 PM,9805 BOWMAN BLVD,75220,7/C,23R,6,9802,DWELLING,1,WOOD,UNDETERMINED,238210,-218210,-20000,0,NO,YES
17500,2019312775,12/31/2019,02:47 AM,2605 PERTH ST,75220,7/C,23N,6,9900,VEHICLE,,,UNDETERMINED,100000,-100000,0,0,,
17501,,12/31/2019,02:47 AM,2605 PERTH ST,75220,7/C-E,23N-E,,,VEHICLE,,,EXPOSURE  (UNDETERMINED),37000,-37000,0,0,,
17502,,12/31/2019,02:47 AM,2605 PERTH ST,75220,7/C-E,23N-E,,,VEHICLE,,,EXPOSURE (UNDETERMINED),20000,-20000,0,0,,
17503,,12/31/2019,02:47 AM,2605 PERTH ST,75220,7/C-E,23N-E,,,VEHICLE,,,EXPOSURE (UNDETERMINED),500,-500,0,0,,
17504,,12/31/2019,02:47 AM,2605 PERTH ST,75220,7/C-E,23N-E,,,VEHICLE,,,EXPOSURE (UNDETERMINED),100000,-100000,0,0,,
17507,2019312810,12/31/2019,04:41 AM,2323 CROWN RD,75229,7/C,22C,6,9900,COMMERCIAL,1,,UNSPECIFIED SHORT CIRCUIT ARC,1592610,-1000,-2500,1589110,YES,YES
17508,2019313205,12/31/2019,04:22 PM,4815 SAPPHIRE ST,75223,3/A,47J,7,2500,DWELLING,1,WOOD,EQUIPMENT UNATTENDED,37170,-200,-50,36920,NO,YES
17509,2019313361,12/31/2019,07:47 PM,4029 HERSCHEL AVE,75219,3/A,35S,14,603,DWELLING,2,BRICK,MECHANICAL FAILURE MALFUNCTION OTHER,682350,-1000,-700,680650,NO,YES
17510,2019313460,12/31/2019,09:45 PM,3054 S BECKLEY AVE,75224,6/A,54Z,4,5600,DWELLING,1,WOOD,EQUIPMENT UNATTENDED,77240,-25000,-5000,47240,NO,NO
17511,2019313522,12/31/2019,11:17 PM,815 SUNSET AVE,75208,6/A,54F,1,4700,VEHICLE,,,INCENDIARY,45000,-45000,0,0,,UNK
17512,,12/31/2019,11:17 PM,815 SUNSET AVE,75208,6/A-E,54F-E,,,VEHICLE,,,EXPOSURE (INCENDIARY),4000,-800,0,3200,,UNK
17505,2019312833,12/31/2019,05:49 AM,7206 SIERRA WAY,75241,5/C,66W,8,16701,VEHICLE,,,INCENDIARY,0,0,0,0,,
17713,2019313160,12/31/2019,03:20 PM,4107 BOWSER AVE,75219,7/A,35S,4,606,DUMPSTER,,,INCENDIARY,4000,0,0,4000,NO,NO
17639,2019000140,01/01/2020,01:40 AM,10346 BICKHAM RD,75220,7/A,22Y,6,9900,TRAILER,,METAL,UNDETERMINED,20000,-20000,0,0,NO,NO
